,dataset,model_type,training time total (s),training time total (s) (std),training time growing (s) (std),training time growing (s),training time pruning (s) (std),training time pruning (s)
0,anneal,at_least_M-of-N,0.214,0.014,0.012,0.102,0.001,0.009
0,anneal,complex,0.278,0.071,0.064,0.408,0.005,0.013
0,anneal,exact_M-of-N,0.247,0.062,0.011,0.098,0.004,0.011
0,anneal,plain,0.082,0.014,0.023,0.168,0.002,0.014
0,auto-mpg,at_least_M-of-N,2.127,0.607,0.48,1.413,0.007,0.036
0,auto-mpg,complex,1.709,0.311,0.453,3.562,0.007,0.019
0,auto-mpg,exact_M-of-N,1.787,0.511,0.305,0.946,0.005,0.043
0,auto-mpg,plain,0.126,0.089,0.198,0.3,0.004,0.019
0,autos,at_least_M-of-N,0.381,0.11,0.16,0.405,0.009,0.035
0,autos,complex,0.566,0.178,0.4,1.742,0.027,0.016
0,autos,exact_M-of-N,0.326,0.081,0.113,0.323,0.015,0.044
0,autos,plain,0.095,0.029,0.104,0.332,0.011,0.019
0,balance-scale,at_least_M-of-N,0.499,0.082,0.059,0.244,0.004,0.017
0,balance-scale,complex,0.083,0.035,0.075,0.175,0.005,0.014
0,balance-scale,exact_M-of-N,0.44,0.08,0.029,0.184,0.002,0.011
0,balance-scale,plain,0.142,0.081,0.25,0.33,0.014,0.052
0,bupa-liver-disorders,at_least_M-of-N,6.44,2.169,0.247,1.053,0.009,0.038
0,bupa-liver-disorders,complex,0.486,0.045,0.076,0.901,0.003,0.016
0,bupa-liver-disorders,exact_M-of-N,6.444,2.327,0.147,0.979,0.004,0.035
0,bupa-liver-disorders,plain,0.112,0.037,0.065,0.184,0.006,0.025
0,car,at_least_M-of-N,0.258,0.047,0.106,0.296,0.019,0.033
0,car,complex,0.153,0.044,0.077,0.292,0.008,0.041
0,car,exact_M-of-N,0.267,0.044,0.116,0.32,0.019,0.037
0,car,plain,0.589,0.045,0.042,0.663,0.015,0.108
0,cleveland,at_least_M-of-N,5.439,2.173,0.341,1.583,0.028,0.107
0,cleveland,complex,0.824,0.161,0.107,1.521,0.012,0.022
0,cleveland,exact_M-of-N,5.4,2.239,0.232,1.273,0.042,0.142
0,cleveland,plain,0.132,0.037,0.043,0.336,0.005,0.031
0,cylinder-bands,at_least_M-of-N,7.175,2.53,0.763,2.013,0.005,0.06
0,cylinder-bands,complex,2.319,0.156,0.173,3.133,0.001,0.023
0,cylinder-bands,exact_M-of-N,7.456,2.887,0.41,1.821,0.008,0.059
0,cylinder-bands,plain,0.259,0.037,0.056,0.398,0.016,0.036
0,echocardiogram,at_least_M-of-N,0.188,0.066,0.019,0.062,0.001,0.002
0,echocardiogram,complex,0.26,0.064,0.075,0.332,0.001,0.002
0,echocardiogram,exact_M-of-N,0.207,0.08,0.019,0.056,0.002,0.003
0,echocardiogram,plain,0.047,0.021,0.04,0.08,0.001,0.005
0,ecoli,at_least_M-of-N,5.453,1.133,0.337,3.514,0.016,0.066
0,ecoli,complex,0.293,0.099,0.411,1.054,0.03,0.03
0,ecoli,exact_M-of-N,5.698,1.322,0.584,2.829,0.039,0.084
0,ecoli,plain,0.088,0.041,0.159,0.407,0.017,0.039
0,flag,at_least_M-of-N,1.162,0.35,0.178,0.578,0.012,0.027
0,flag,complex,0.516,0.145,0.283,1.057,0.012,0.035
0,flag,exact_M-of-N,1.096,0.375,0.099,0.376,0.007,0.023
