,dataset,model_type,training time total (s),training time total (s) (std),training time growing (s) (std),training time growing (s),training time pruning (s) (std),training time pruning (s)
0,auto-mpg,at_least_M-of-N,1022.54,2875.831,17.735,9.463,53.624,23.56
0,auto-mpg,complex,884.694,514.851,510.328,876.833,4.709,7.847
0,auto-mpg,exact_M-of-N,1020.735,2874.341,14.089,8.001,36.662,16.76
0,auto-mpg,plain,2.239,2.266,1.867,1.845,0.434,0.39
0,auto-price,at_least_M-of-N,4.991,6.248,0.726,0.798,0.531,0.386
0,auto-price,complex,1009.198,510.266,502.005,985.213,8.72,23.969
0,auto-price,exact_M-of-N,5.249,6.558,0.89,0.972,0.779,0.543
0,auto-price,plain,1.527,1.562,1.376,1.324,0.189,0.198
0,auto93,at_least_M-of-N,1.098,1.033,0.411,0.485,0.122,0.145
0,auto93,complex,313.641,146.058,139.879,299.661,6.482,13.96
0,auto93,exact_M-of-N,1.065,0.99,0.368,0.479,0.108,0.126
0,auto93,plain,0.17,0.058,0.05,0.149,0.008,0.013
0,bodyfat,at_least_M-of-N,26.106,26.45,1.947,4.395,2.059,3.975
0,bodyfat,complex,859.564,382.769,373.582,816.022,11.471,43.522
0,bodyfat,exact_M-of-N,26.87,28.649,2.334,4.956,2.188,3.924
0,bodyfat,plain,174.512,126.627,90.638,132.476,37.469,42.029
0,bolts,at_least_M-of-N,0.269,0.198,0.092,0.129,0.107,0.081
0,bolts,complex,0.794,0.321,0.308,0.75,0.014,0.033
0,bolts,exact_M-of-N,0.296,0.158,0.076,0.173,0.077,0.064
0,bolts,plain,0.086,0.015,0.013,0.077,0.003,0.007
0,breasttumor,at_least_M-of-N,0.305,0.259,0.087,0.118,0.161,0.158
0,breasttumor,complex,1.805,0.75,0.735,1.755,0.017,0.041
0,breasttumor,exact_M-of-N,0.296,0.254,0.083,0.113,0.16,0.157
0,breasttumor,plain,1.236,0.322,0.284,1.079,0.042,0.152
0,cholesterol,at_least_M-of-N,8.595,10.262,4.855,4.525,4.171,3.039
0,cholesterol,complex,30.611,14.387,13.974,29.945,0.424,0.654
0,cholesterol,exact_M-of-N,6.837,7.98,3.5,3.507,3.244,2.29
0,cholesterol,plain,8.975,3.934,3.254,7.581,0.686,1.385
0,cloud,at_least_M-of-N,4.179,3.847,0.199,0.423,0.11,0.13
0,cloud,complex,25.814,5.875,5.802,25.515,0.076,0.286
0,cloud,exact_M-of-N,4.3,3.956,0.36,0.51,0.164,0.16
0,cloud,plain,1.599,2.265,1.799,1.324,0.471,0.272
0,concrete,at_least_M-of-N,1.399,0.715,0.236,0.669,0.042,0.119
0,concrete,complex,9.391,2.194,2.107,8.903,0.125,0.472
0,concrete,exact_M-of-N,1.379,0.808,0.285,0.648,0.068,0.128
0,concrete,plain,6.891,3.497,2.855,5.658,0.65,1.228
0,cpu,at_least_M-of-N,16.502,8.382,0.995,1.907,0.964,1.379
0,cpu,complex,72.493,10.254,9.965,70.53,0.338,1.945
0,cpu,exact_M-of-N,15.915,8.387,0.482,1.642,0.57,1.059
0,cpu,plain,2.149,2.479,2.119,1.845,0.365,0.3
0,dee,at_least_M-of-N,675.369,703.707,5.657,6.403,10.065,10.833
0,dee,complex,1811.074,642.701,638.16,1796.354,4.93,14.704
0,dee,exact_M-of-N,657.687,685.679,3.199,4.11,7.64,7.825
0,dee,plain,2039.243,2086.149,1473.866,1484.002,615.143,555.236
0,diabetes,at_least_M-of-N,0.222,0.144,0.018,0.094,0.011,0.032
0,diabetes,complex,0.456,0.068,0.066,0.441,0.002,0.005
0,diabetes,exact_M-of-N,0.17,0.046,0.022,0.09,0.011,0.032
0,diabetes,plain,0.319,0.112,0.094,0.275,0.022,0.042
0,echomonths,at_least_M-of-N,1.36,1.219,0.586,0.746,0.211,0.207
0,echomonths,complex,6.206,1.985,1.942,6.103,0.052,0.091
0,echomonths,exact_M-of-N,1.236,1.029,0.434,0.664,0.166,0.17
0,echomonths,plain,2.618,0.879,0.723,2.096,0.161,0.517
0,ele-1,at_least_M-of-N,2346.178,3563.628,47.742,41.748,1060.724,729.665
0,ele-1,complex,1038.376,399.712,395.816,1028.891,3.986,9.474
0,ele-1,exact_M-of-N,2375.117,3657.337,45.281,43.111,1060.616,733.025
0,ele-1,plain,39.744,79.556,70.191,34.92,9.578,4.822
0,elusage,at_least_M-of-N,0.043,0.034,0.017,0.023,0.001,0.002
0,elusage,complex,0.186,0.044,0.043,0.181,0.001,0.003
0,elusage,exact_M-of-N,0.045,0.024,0.015,0.025,0.001,0.002
0,elusage,plain,0.028,0.021,0.019,0.023,0.002,0.002
0,fishcatch,at_least_M-of-N,1.728,1.543,0.528,0.517,0.297,0.224
0,fishcatch,complex,82.387,21.053,20.747,81.444,0.32,0.932
0,fishcatch,exact_M-of-N,1.84,1.542,0.552,0.613,0.3,0.25
0,fishcatch,plain,3.609,4.434,3.502,3.007,0.937,0.599
0,fruitfly,at_least_M-of-N,0.726,0.665,0.194,0.25,0.413,0.378
0,fruitfly,complex,1.487,0.497,0.491,1.46,0.011,0.016
0,fruitfly,exact_M-of-N,0.748,0.674,0.188,0.261,0.42,0.393
0,fruitfly,plain,0.854,0.305,0.264,0.749,0.043,0.102
0,gascons,at_least_M-of-N,0.062,0.022,0.012,0.033,0.0,0.001
0,gascons,complex,0.214,0.065,0.064,0.202,0.001,0.003
0,gascons,exact_M-of-N,0.061,0.024,0.012,0.032,0.0,0.001
0,gascons,plain,0.074,0.029,0.028,0.068,0.003,0.004
0,kidney,at_least_M-of-N,0.417,0.382,0.22,0.245,0.042,0.041
0,kidney,complex,1.429,0.744,0.729,1.403,0.015,0.016
0,kidney,exact_M-of-N,0.475,0.5,0.302,0.291,0.078,0.062
0,kidney,plain,0.181,0.075,0.069,0.166,0.007,0.013
0,lowbwt,at_least_M-of-N,0.207,0.153,0.005,0.027,0.001,0.001
0,lowbwt,complex,3.23,1.229,1.162,3.044,0.073,0.174
0,lowbwt,exact_M-of-N,0.23,0.165,0.045,0.069,0.013,0.011
0,lowbwt,plain,0.417,0.247,0.201,0.338,0.052,0.076
0,machine,at_least_M-of-N,20.347,35.468,0.773,0.729,0.684,0.413
0,machine,complex,65.947,24.869,23.977,63.511,0.923,2.423
0,machine,exact_M-of-N,20.163,34.162,0.579,0.771,0.505,0.418
0,machine,plain,1.242,1.634,1.25,0.964,0.389,0.272
0,mbagrade,at_least_M-of-N,0.111,0.048,0.029,0.066,0.014,0.021
0,mbagrade,complex,0.199,0.07,0.069,0.194,0.001,0.003
0,mbagrade,exact_M-of-N,0.109,0.049,0.028,0.066,0.015,0.022
0,mbagrade,plain,0.04,0.008,0.007,0.035,0.001,0.003
0,ozone,at_least_M-of-N,2801.107,1280.307,13.905,35.436,50.438,79.351
0,ozone,complex,1565.858,239.578,235.636,1536.057,4.325,29.781
0,ozone,exact_M-of-N,2759.839,1245.45,13.246,29.168,44.298,67.69
0,ozone,plain,76.225,37.223,30.251,65.096,7.156,11.125
0,pharynx,at_least_M-of-N,0.225,0.1,0.033,0.084,0.039,0.041
0,pharynx,complex,2292.614,562.062,562.001,2292.032,0.072,0.253
0,pharynx,exact_M-of-N,0.213,0.083,0.036,0.084,0.035,0.036
0,pharynx,plain,1.931,1.663,1.518,1.78,0.146,0.145
0,pollution,at_least_M-of-N,4.151,3.651,0.418,0.778,3.216,3.229
0,pollution,complex,10.962,2.96,2.395,7.491,0.658,3.454
0,pollution,exact_M-of-N,1.533,1.058,0.284,0.612,0.764,0.788
0,pollution,plain,1.186,0.481,0.378,0.968,0.105,0.213
0,pwlinear,at_least_M-of-N,89.03,86.471,12.226,16.354,74.5,72.467
0,pwlinear,complex,2.016,0.269,0.254,1.837,0.021,0.168
0,pwlinear,exact_M-of-N,93.917,85.629,11.729,16.972,74.212,76.734
0,pwlinear,plain,0.149,0.026,0.021,0.122,0.006,0.022
0,pyrim,at_least_M-of-N,2.104,2.094,0.344,0.58,1.788,1.439
0,pyrim,complex,128.776,36.143,31.498,111.53,4.877,17.222
0,pyrim,exact_M-of-N,1.779,1.404,0.357,0.607,1.067,1.096
0,pyrim,plain,0.181,0.093,0.062,0.13,0.031,0.043
0,servo,at_least_M-of-N,0.014,0.006,0.004,0.004,0.0,0.001
0,servo,complex,0.159,0.103,0.099,0.146,0.004,0.008
0,servo,exact_M-of-N,0.014,0.006,0.004,0.004,0.0,0.001
0,servo,plain,0.039,0.009,0.008,0.034,0.001,0.002
0,veteran,at_least_M-of-N,1.696,1.628,0.552,0.665,0.238,0.187
0,veteran,complex,2.326,0.955,0.904,2.21,0.051,0.103
0,veteran,exact_M-of-N,1.6,1.53,0.492,0.586,0.179,0.156
0,veteran,plain,0.534,0.294,0.251,0.444,0.044,0.086
