model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,cancer,0,0.1309325771837528,0.1735374677774841,13,63.0,0.6153846153846154,4.230769230769231,4.846153846153846,0.9510928026659464,1.0,0.2945590994371482,17.122904725,15.715332637,1.399744997,0.8461538461538461,0.8461538461538461,Correlation,Correlation,Correlation
complex,no_discretization,cancer,0,0.1313949956707234,0.1891651273600263,10,45.0,1.1,3.4,4.5,0.9900826631593612,1.0,0.3004878048780487,22.227052551,20.876532807000004,1.3415947439999998,0.9,0.8,Correlation,Correlation,Correlation
complex,no_discretization,cancer,0,0.1385027527446625,0.1899998057529212,28,256.0,1.3928571428571428,7.75,9.142857142857142,0.9730424112532556,1.0,0.2479094076655053,71.298603567,66.39595978899999,4.889312713000001,0.8928571428571429,0.8928571428571429,Correlation,Correlation,Correlation
complex,no_discretization,cancer,0,0.1292031285484185,0.1792929971360463,21,148.0,1.0,6.0476190476190474,7.0476190476190474,0.9727401092924068,1.0,0.2353213129912159,43.160564191,40.206739712,2.943235653000001,0.8571428571428571,0.8095238095238095,Correlation,Correlation,Correlation
complex,no_discretization,cancer,0,0.1301032870384592,0.2086420309218562,23,158.0,1.391304347826087,5.478260869565218,6.869565217391305,0.969641189651444,1.0,0.2595970307529162,61.398085676,57.532781523,3.851723095000001,0.8260869565217391,0.8260869565217391,Correlation,Correlation,Correlation
complex,no_discretization,cancer,0,0.113430950953977,0.1748281816756405,14,100.0,1.2142857142857142,5.928571428571429,7.142857142857143,0.9171609763653866,1.0,0.2195121951219512,25.046777337,23.49395098,1.5442013220000004,0.7857142857142857,0.7142857142857143,Correlation,Correlation,Correlation
complex,no_discretization,cancer,0,0.1376646992755578,0.1984383032003135,26,177.0,1.5384615384615385,5.269230769230769,6.8076923076923075,0.9764866930360456,1.0,0.2532833020637899,64.945931167,60.485739888000005,4.448126469,0.8461538461538461,0.7692307692307693,Correlation,Correlation,Correlation
complex,no_discretization,cancer,0,0.1309911842700975,0.1394121124881294,17,108.0,1.1176470588235294,5.235294117647059,6.352941176470588,0.911874494164275,1.0,0.2536585365853658,50.825604727,47.44692234099999,3.364026466,0.4705882352941176,0.4117647058823529,Correlation,Correlation,Correlation
complex,no_discretization,cancer,0,0.1235463054597832,0.1204230224584085,23,176.0,0.9130434782608695,6.739130434782608,7.6521739130434785,0.9944556649925012,1.0,0.2772004241781549,69.44053621,65.225419905,4.2035363750000005,0.9565217391304348,0.9130434782608696,Correlation,Correlation,Correlation
complex,no_discretization,cancer,0,0.1254829385567246,0.1385432153932754,12,82.0,1.0833333333333333,5.75,6.833333333333333,0.9719590210847456,1.0,0.2896440129449838,31.143220756,29.325931306,1.809217661,0.9166666666666666,0.8333333333333334,Correlation,Correlation,Correlation
