model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,cancer,0.6666666666666666,0.1336928530521857,0.170133733966483,9,34.0,1.0,2.111111111111111,3.7777777777777777,0.9998931912268514,1.0,0.3398373983739837,1.3887031078338623,0.520735131,0.19066995,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,cancer,0.6,0.1317312997811984,0.2018406694940958,5,15.0,1.2,1.2,3.0,0.99997132469183,1.0,0.3931707317073171,1.0081398487091064,0.1941227569999999,0.0946014739999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,cancer,0.5555555555555556,0.1355207825500423,0.1721307222072265,9,34.0,2.111111111111111,1.1111111111111112,3.7777777777777777,0.9999786173768288,1.0,0.3398373983739837,68.69370532035828,1.873769242,0.4919199,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,cancer,0.625,0.1352525565350811,0.1611715352911951,8,31.0,2.0,1.25,3.875,0.9999999999963544,1.0,0.412621359223301,15.23432993888855,0.7880513960000001,0.252506935,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,cancer,0.4444444444444444,0.1193721445297986,0.1580878603075614,9,32.0,2.111111111111111,1.0,3.5555555555555554,0.9907177378755462,1.0,0.2569105691056911,27.483065843582157,1.7001121729999995,0.4779004499999999,0.8888888888888888,0.8888888888888888,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,cancer,0.6666666666666666,0.1301358268862077,0.1476816414522,6,24.0,1.8333333333333333,1.5,4.0,0.9999999999968754,1.0,0.359349593495935,5.434404134750366,0.282116617,0.05668536,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,cancer,0.8888888888888888,0.1377093124286784,0.1613472876554055,9,45.0,1.8888888888888888,2.2222222222222223,5.0,0.9988440432954396,1.0,0.2953929539295392,42.65096259117127,1.5590477619999998,0.5540669739999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,cancer,0.75,0.1286119980152377,0.1342428879142718,8,27.0,2.25,0.375,3.375,0.9474547979049228,1.0,0.3951219512195122,9.466485500335692,0.61951446,0.177181229,0.875,0.75,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,cancer,0.0,0.1305383236587789,0.1194264401525864,7,22.0,1.8571428571428572,1.2857142857142858,3.142857142857143,0.9999999999990148,1.0,0.3916376306620208,18.155627965927124,0.531355117,0.157393621,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,cancer,0.0,0.1342600022078954,0.1571391937756826,2,3.0,0.5,1.0,1.5,0.9996722465048028,1.0,0.4951456310679611,2.469944715499878,0.102405976,0.013211555,1.0,1.0,Correlation,Correlation,Correlation
