model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,follic,0.10526315789473684,0.166803343489167,0.1959893030359022,19,163.0,1.105263157894737,7.368421052631579,8.578947368421053,0.997869189438266,1.0,0.2201448178968983,35.63479924201965,10.843443960999998,19.281464423,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.1730882105433411,0.1825189292093414,9,23.0,0.6666666666666666,1.8888888888888888,2.5555555555555554,0.9295683421560272,1.0,0.2890714122746977,240.87203645706177,12.123588909,129.369449561,0.7777777777777778,0.7777777777777778,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.1793611550316272,0.2359264036853746,3,15.0,1.0,4.0,5.0,0.9999997191528566,1.0,0.3613963039014374,15.41241979598999,2.341816973,3.383647948,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.179289356792474,0.1593182997680565,5,22.0,0.8,3.6,4.4,0.9059639612668856,1.0,0.4106776180698152,25.466184616088867,1.249807225,11.074714133,0.6,0.6,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.14285714285714285,0.1791357474006073,0.2098324384779485,7,26.0,1.1428571428571428,2.4285714285714284,3.7142857142857144,0.993198697166769,1.0,0.2396597242593136,169.90099620819092,16.002297553000002,55.930746934,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.1717383305840934,0.209704947888596,6,34.0,0.6666666666666666,5.0,5.666666666666667,0.9614790622466224,1.0,0.2559890485968514,246.97425484657288,17.730045844,64.132850918,0.8333333333333334,0.8333333333333334,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.1774369069700017,0.2235685331833258,7,32.0,0.5714285714285714,4.0,4.571428571428571,0.9865520004388793,1.0,0.2420064535054268,1020.9157426357268,37.287257687,252.94108352299995,0.8571428571428571,0.8571428571428571,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.16666666666666666,0.1684241343954357,0.2068175079965051,12,114.0,1.0833333333333333,8.25,9.5,0.9983081009466894,1.0,0.2613168724279835,294.57005429267883,34.04094243800001,121.225110009,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.1669305810134686,0.2131998342832305,2,2.0,0.0,1.0,1.0,0.9999999993426169,1.0,0.5,7.500647306442261,0.6771726539999999,0.729316502,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.2857142857142857,0.1653220213828194,0.1883011668237571,7,37.0,1.0,4.0,5.285714285714286,0.9970420694774256,1.0,0.232912877676738,107.90856289863586,8.912206386000001,24.379331899000004,1.0,1.0,Correlation,Correlation,Correlation
