model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,hd,0,0.1982064443452276,0.2274564558959582,3,3.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.5664095972579263,1706749904.939979,0.007466883,0.004119169,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.1985376928831212,0.1653578485343903,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,1706748847.4681454,0.012896675,0.007211399,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.2043162147487326,0.2435536632292752,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,1706754229.7199824,0.007050482,0.003992211,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.2034399224173274,0.2284115326373536,4,6.0,0.0,1.5,1.5,0.999999999996722,1.0,0.4223363286264441,1706757409.4426498,0.053424866,0.0529735789999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.1989064687320212,0.1886261555306689,3,3.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.5699614890885751,1706755119.6706638,0.00708346,0.004550479,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.2097786425796713,0.2126693432964802,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,1706750961.8963895,0.007550048,0.0042049989999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.1973131731870758,0.1950731656999393,3,3.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.5441302485004285,1706752040.943461,0.0070940139999999,0.003803808,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.2013526194367932,0.1918764622277357,3,5.0,0.0,1.6666666666666667,1.6666666666666667,1.0,1.0,0.3598971722365038,1706747754.730997,0.016231771,0.008867139,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.205974974541085,0.2298391959116097,3,3.0,0.0,1.0,1.0,1.0,1.0,0.3697047496790757,1706753174.2032006,0.008985298,0.0053680099999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.1995612691206324,0.2430073217488169,3,3.0,0.0,1.0,1.0,1.0,1.0,0.6148908857509627,1706756257.2480853,0.016807161,0.010379263,1.0,1.0,Correlation,Correlation,Correlation
