model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,lung,0,0.1471724143931531,0.1434676623384917,6,11.0,0.5,1.3333333333333333,1.8333333333333333,0.9999993104793878,1.0,0.3597057768209544,1.24763936,0.902033742,0.333754458,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1373098753928108,0.1719464011207632,7,12.0,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.9999999141874284,1.0,0.2843288177339901,1.193804201,0.890420803,0.284609979,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1467997197976064,0.1615420052364951,4,7.0,0.0,1.75,1.75,0.9999997785640542,1.0,0.3003229278794402,0.737630796,0.590809428,0.140563245,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1533916799091045,0.1345140315330361,4,5.0,0.25,1.0,1.25,0.9999995586071634,1.0,0.4308396124865447,0.966193847,0.753150646,0.2054419589999999,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1465845402668527,0.1497236013395421,4,7.0,0.25,1.5,1.75,0.9999974825234974,1.0,0.2968245425188374,0.972682755,0.720980319,0.24430207,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1474004008210455,0.1222363976750952,8,18.0,0.375,1.875,2.25,0.9999566103067538,1.0,0.2529601722282024,2.44681361,1.871090779,0.556734039,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1441837720150107,0.1418912841189984,4,7.0,0.5,1.25,1.75,0.9999998073805384,1.0,0.3923573735199138,0.799644356,0.596419076,0.192119028,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1446148894123644,0.1774156963168762,9,14.0,0.3333333333333333,1.2222222222222223,1.5555555555555556,0.9999429147639584,1.0,0.3362068965517241,2.218157082,1.603631495,0.589413864,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1493354093036616,0.1582173749931315,5,10.0,0.2,1.8,2.0,0.9991631373330768,1.0,0.2437029063509149,0.953364709,0.742856332,0.200662852,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1447504450321076,0.1479020783351908,7,11.0,0.5714285714285714,1.0,1.5714285714285714,0.9999983581967226,1.0,0.3853606027987082,1.4476056,1.0637739459999995,0.374783026,1.0,1.0,Correlation,Correlation,Correlation
