model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,lung,0.0,0.1436247754199733,0.1411735078343793,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.1173357963562011,0.03924851,0.039312479,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.0,0.1376611522560319,0.1689143422808053,3,3.0,1.0,0.0,1.0,1.0,1.0,0.5229885057471265,0.2943811416625976,0.1231425459999999,0.071053582,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.625,0.1539997056460496,0.1806806972854993,8,19.0,0.0,1.75,2.375,0.9969363406165088,1.0,0.2536329386437029,0.1815242767333984,0.090730143,0.056770891,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.0,0.1512743427145294,0.1400489556708593,3,4.0,1.3333333333333333,0.0,1.3333333333333333,0.9999994114762178,1.0,0.3588087549336203,0.0428352355957031,0.0140045079999999,0.008625134,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.5,0.1496262842560559,0.1543351395804536,6,13.0,0.6666666666666666,1.0,2.1666666666666665,0.9999345624059764,1.0,0.2956584140653032,0.195056676864624,0.09339196,0.067245084,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.38461538461538464,0.1437017992748826,0.1169786831651455,13,40.0,1.6153846153846154,1.0769230769230769,3.076923076923077,0.99765809570191,1.0,0.1601391073942203,2.1786463260650635,1.187768169,0.890233734,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.3333333333333333,0.141565847800362,0.1398741841027846,3,5.0,1.0,0.3333333333333333,1.6666666666666667,1.0,1.0,0.3857194115536419,0.1650147438049316,0.0777318729999999,0.049435847,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.5714285714285714,0.1500632912306091,0.1829799559679816,7,12.0,0.8571428571428571,0.2857142857142857,1.7142857142857142,0.9999330052031088,1.0,0.4159482758620689,1.198704481124878,0.473056198,0.3499628259999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.5555555555555556,0.1459821546234951,0.1703695498665403,9,20.0,1.1111111111111112,0.5555555555555556,2.2222222222222223,0.9999410138382904,1.0,0.2333452936251644,0.3505353927612304,0.1521603249999999,0.164350062,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.5,0.1487027087381489,0.1549926315104287,2,2.0,0.5,0.0,1.0,1.0,1.0,0.6334768568353067,0.1939821243286132,0.080254566,0.036984261,1.0,1.0,Correlation,Correlation,Correlation
