dataset,model_type,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),induction measure,pruning measure,voting measure,variant,M-of-N count (std),integrated_brier_score (train) (std),integrated_brier_score (test) (std),rules (std),conditions_count (std),avg conditions per rule (std),avg rule quality (std),avg rule precision (std),avg rule coverage (std),training time total (s) (std),training time growing (s) (std),training time pruning (s) (std)
GBSG2,at_least_M-of-N,1.1111111111111112,0.1723506661291745,0.1910188696838477,3.888888888888889,8.777777777777779,1.8638888888888887,0.9999999997853812,1.0,0.4470333829289628,1706298932.721676,5.680410802333333,1.111413650666667,Correlation,Correlation,Correlation,no_discretization,1.1666666666666667,0.0073339493442248,0.0314472093404161,2.204792759220492,8.120618476719889,0.9078553788400932,5.618629105193671e-10,0.0,0.2227695757398997,30790.394702455586,3.649516850813131,1.4865637612419291
GBSG2,complex,0.0,0.1633623372688538,0.1865005744729011,8.0,59.888888888888886,7.286083052749719,0.9980072083925804,1.0,0.3448130990211366,9553.055984058445,9471.557590570445,81.48422891988888,Correlation,Correlation,Correlation,no_discretization,0.0,0.0057234378042609,0.0307033139829548,2.6457513110645907,34.02735827405811,2.346637906186899,0.0055402963082041,0.0,0.0775023469389907,6112.210445249077,6066.621651237285,46.49714551283015
GBSG2,exact_M-of-N,1.3333333333333333,0.1712443692584372,0.1891306328054478,4.111111111111111,9.333333333333334,1.9793650793650792,0.9999999997780186,1.0,0.3843907420714499,21.367097828123303,7.710455237666668,1.0486105122222222,Correlation,Correlation,Correlation,no_discretization,2.0,0.0033605812699052,0.0279902038801123,1.90029237516523,7.071067811865476,0.904059878016135,5.324690390990183e-10,0.0,0.0841624942462904,25.8619529343482,7.8424841716156575,1.3600043532051624
GBSG2,plain,0.0,0.170076139010567,0.1838278104997997,7.0,15.444444444444445,2.073677248677249,0.9943298052342898,1.0,0.4484284518451303,24.335900760555557,14.58263721,9.74700719622222,Correlation,Correlation,Correlation,no_discretization,0.0,0.0037769759355327,0.0246209000648388,2.23606797749979,9.448691855372244,0.6847795703470765,0.0140110768221291,0.0,0.1182594759046839,17.2225603405411,9.836601693678114,7.503317518305612
lung,at_least_M-of-N,1.4444444444444444,0.1465429194858135,0.1555158204475282,3.888888888888889,6.444444444444445,1.4555555555555555,0.9969054408822032,1.0,0.4170884559813144,1706354897.221234,0.2495936723333333,0.2541469954444444,Correlation,Correlation,Correlation,no_discretization,2.9202359113225387,0.0062764078892477,0.02217980785155,2.1473497877875207,5.918426968188235,0.4795107460271933,0.0091752338641146,0.0,0.0847348910400184,23.21887448889569,0.4336726200365478,0.5450042135954004
lung,complex,0.0,0.1453501629371791,0.1527047223860649,6.0,10.77777777777778,1.7971781305114638,0.999895257081713,1.0,0.3168633351558539,1.2527440833333334,0.9447142681111113,0.2947543294444444,Correlation,Correlation,Correlation,no_discretization,0.0,0.0034266993436801,0.0167775383654304,1.8708286933869709,3.6666666666666665,0.2151698072856834,0.0002753975319213,0.0,0.0545098263624634,0.4117695917856352,0.292991391141587,0.1158491369876599
lung,exact_M-of-N,3.4444444444444446,0.1462442303512968,0.1568753386017053,6.0,12.22222222222222,1.7979116562449893,0.9994874312622352,1.0,0.3662624688958468,0.792226685418023,0.3624078131111111,0.3338864795555555,Correlation,Correlation,Correlation,no_discretization,3.4318767136623336,0.0048739827854163,0.0204619324049498,3.0413812651491097,9.0661151793061,0.5924452134533893,0.0010534462920296,0.0,0.1166576815796625,1.332424567399739,0.6059023349894725,0.6434584332442292
lung,plain,0.0,0.1433637112153629,0.150611262562638,3.888888888888889,3.888888888888889,1.0,0.9999999999999998,1.0,0.469520373394812,0.2059451011111111,0.1335682934444444,0.0657403592222221,Correlation,Correlation,Correlation,no_discretization,0.0,0.0037090577189555,0.0182263408024867,0.927960727138337,0.927960727138337,0.0,2.5133742693021536e-16,0.0,0.0408300677945267,0.0615877554569913,0.0373378782459224,0.0230304167449022
pbc,at_least_M-of-N,0.5555555555555556,0.1457393590376332,0.1529425383932273,2.555555555555556,2.7777777777777777,1.0648148148148149,0.9999581966266,1.0,0.4915041371158392,1706342117.9188094,5.328673323333334,1.4911782271111111,Correlation,Correlation,Correlation,no_discretization,0.881917103688197,0.0047652873844827,0.0408458365341872,0.7264831572567788,1.092906420717,0.1302893266617619,0.0001254101202002,0.0,0.0329045842651245,16794.60489144171,6.616061630496058,2.8797859734784432
pbc,complex,0.0,0.1410160427112409,0.1438529857356791,7.777777777777778,21.55555555555556,2.6731040564373902,0.9990921030749308,1.0,0.3827334550203833,6081.890096568333,6021.740696052333,60.13002787022223,Correlation,Correlation,Correlation,no_discretization,0.0,0.0040154552581634,0.0322736541302126,2.223610677354389,10.596120883501555,0.9219179316281576,0.0027072478029468,0.0,0.0482456616546899,2099.564970363199,2083.0070478153475,17.052232681903618
