model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,mgus,0,0.1360545302385208,0.2642554126770081,10,27.0,2.7,0.0,2.7,0.9970306706598672,1.0,0.3497695852534562,3.650307517,2.836156824,0.8088568799999999,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,mgus,0,0.123333991979035,0.2036004307525489,9,31.0,3.4444444444444446,0.0,3.4444444444444446,0.992761282957056,1.0,0.227342549923195,4.788616104,3.651407035,1.132428628,0.8888888888888888,0.8888888888888888,Correlation,Correlation,Correlation
plain,no_discretization,mgus,0,0.1350137557437737,0.1690224130430428,10,29.0,2.9,0.0,2.9,0.9748854143709652,1.0,0.3705069124423963,2.066026047,1.717837202,0.342055812,0.9,0.7,Correlation,Correlation,Correlation
plain,no_discretization,mgus,0,0.1343745855769952,0.1604042713656931,5,15.0,3.0,0.0,3.0,0.9999854106786346,1.0,0.3963133640552995,1.652261219,1.313035561,0.3352975349999999,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,mgus,0,0.1312523290507067,0.1845665540427173,10,29.0,2.9,0.0,2.9,0.9678055837872512,1.0,0.2414746543778801,3.409482428,2.641849667,0.76334282,0.7,0.7,Correlation,Correlation,Correlation
plain,no_discretization,mgus,0,0.1356379047612241,0.1510465445779156,7,24.0,3.4285714285714284,0.0,3.4285714285714284,0.9996635117368148,1.0,0.3179723502304147,2.479470975,2.013360799,0.4615730759999999,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,mgus,0,0.1247929202723601,0.1642148897046241,12,40.0,3.3333333333333335,0.0,3.3333333333333335,0.9790228958277686,1.0,0.2465437788018433,4.429272865,3.514759272,0.908967202,0.9166666666666666,0.9166666666666666,Correlation,Correlation,Correlation
plain,no_discretization,mgus,0,0.1361090615977939,0.1878228026446602,5,14.0,2.8,0.0,2.8,0.9970838849756232,1.0,0.3185185185185185,3.431182253,2.650665612,0.775774773,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,mgus,0,0.149686127707655,0.1393681933790653,14,55.0,3.9285714285714284,0.0,3.9285714285714284,0.9889653118443792,1.0,0.2376563528637261,4.052617554,3.293316804,0.753979388,0.8571428571428571,0.7142857142857143,Correlation,Correlation,Correlation
plain,no_discretization,mgus,0,0.1414825047635247,0.1694026490585974,5,12.0,2.4,0.0,2.4,0.989524616032373,1.0,0.4027649769585253,1.207192332,1.000403814,0.202869562,1.0,1.0,Correlation,Correlation,Correlation
