model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,std,0,0.1949785713823362,0.2568362429218055,16,73.0,0.6875,3.875,4.5625,0.9619586844040126,1.0,0.1150190114068441,702.932708749,483.03354321,219.847432261,0.5,0.25,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.2027329716746841,0.2189218064179305,9,31.0,0.4444444444444444,3.0,3.4444444444444446,0.970499341434821,1.0,0.2101112519363469,376.568634974,260.849334047,115.684186223,0.7777777777777778,0.5555555555555556,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.1894694105279683,0.209261489228252,34,187.0,0.6764705882352942,4.823529411764706,5.5,0.9737486186822468,1.0,0.1177216133601729,2066.943554898,1464.155218766,602.735080098,0.7647058823529411,0.5294117647058824,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.1858018692401173,0.2557628651205857,33,180.0,0.6060606060606061,4.848484848484849,5.454545454545454,0.9444094353764,1.0,0.0902186421173763,1722.713086246,1230.066056983,492.596958758,0.7272727272727273,0.4242424242424242,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.2013739885208663,0.1789350377399795,15,53.0,0.3333333333333333,3.2,3.533333333333333,0.953243626509764,1.0,0.1719831223628692,553.80791785,375.614400285,178.154985897,0.8666666666666667,0.6666666666666666,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.1954425044027502,0.2995544660571725,13,57.0,0.5384615384615384,3.8461538461538463,4.384615384615385,0.9729048161697385,1.0,0.1806571122160475,558.382967706,393.022080942,165.324960121,0.7692307692307693,0.6153846153846154,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.1938702966051533,0.1911637227710233,26,132.0,0.8076923076923077,4.269230769230769,5.076923076923077,0.971646613165751,1.0,0.1072438334795749,1218.327365624,829.843517727,388.438425674,0.8076923076923077,0.6538461538461539,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.1966696806394004,0.1760472059986857,15,55.0,0.13333333333333333,3.533333333333333,3.6666666666666665,0.960212944052636,1.0,0.1084072665821715,531.81199978,340.00148439899993,191.759120136,0.8,0.5333333333333333,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.1920339454845374,0.1832101066056281,27,134.0,0.5925925925925926,4.37037037037037,4.962962962962963,0.9659200535343871,1.0,0.0811622776134816,1308.431984038,912.020754551,396.366162478,0.7037037037037037,0.2222222222222222,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.2025480745188921,0.2070040740327333,20,93.0,0.55,4.1,4.65,0.920776986969201,1.0,0.1036708860759493,950.942836348,663.059388898,287.842108624,0.55,0.35,Correlation,Correlation,Correlation
