model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,zinc,0.0,0.0866511330283271,0.0888892555010964,5,18.0,0.8,2.8,3.6,0.9999998915935698,1.0,0.2134020618556701,0.1304450035095214,0.06303009,0.046312904,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.0,0.0923543471247524,0.1150720026871952,2,2.0,0.5,0.5,1.0,1.0,1.0,0.5927835051546392,0.051814317703247,0.022333044,0.013211616,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.0,0.1047377181559179,0.1081791134589114,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0114688873291015,0.001035531,0.000260038,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.0,0.0831165521973371,0.1210761836743117,5,12.0,1.2,1.2,2.4,0.9999999999999922,1.0,0.2438144329896907,0.1970956325531005,0.0796178179999999,0.0949181349999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,1.0,0.0801964725561114,0.1608976606357359,5,12.0,0.4,1.0,2.4,0.9999999999999796,1.0,0.25,0.2092111110687255,0.0875839259999999,0.09287204,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.0,0.088965075813615,0.0656403136769997,6,13.0,1.0,1.1666666666666667,2.1666666666666665,0.9740202607360656,1.0,0.3367697594501718,0.1504280567169189,0.069028862,0.062838668,0.8333333333333334,0.8333333333333334,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.6666666666666666,0.0934771985355629,0.0474326622530719,3,5.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.9999999371373076,1.0,0.3505154639175257,0.0460808277130126,0.020441877,0.010671117,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.0,0.1001395098371233,0.0865592614183692,2,2.0,0.0,1.0,1.0,0.9999999946828704,1.0,0.5,0.020864725112915,0.005871321,0.002683528,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.4,0.0903781602093937,0.0899574729916456,5,8.0,0.6,0.6,1.6,0.9999405863149802,1.0,0.3505154639175257,0.0659027099609375,0.035683284,0.01159866,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.0,0.0880552858190499,0.0833278728370347,9,26.0,1.8888888888888888,1.0,2.888888888888889,0.9999999999662884,1.0,0.1858533791523482,0.2866482734680176,0.119649559,0.1454170249999999,1.0,1.0,Correlation,Correlation,Correlation
